지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),condition
90,속초,2022-01-01,-3.3,,1.3,40.8,1025.8,clear
90,속초,2022-01-02,2.2,,2.1,37.8,1020.4,clear
90,속초,2022-01-03,0.6,,2.1,33.9,1019.9,clouds
90,속초,2022-01-04,-1.2,,2.1,43.4,1023.6,clear
90,속초,2022-01-05,-1.5,,1.9,60.1,1025.9,clouds
90,속초,2022-01-06,-1.2,,2.2,57.4,1024.7,clear
90,속초,2022-01-07,-0.4,,1.5,46.9,1025.1,clear
90,속초,2022-01-08,3.3,,2.1,45.3,1018.1,clouds
90,속초,2022-01-09,1.9,,1.9,66.1,1019.4,clouds
90,속초,2022-01-10,1.8,,1.7,65.6,1016.6,clouds
90,속초,2022-01-11,-2.8,,2.4,36.3,1012.7,clear
90,속초,2022-01-12,-4.2,,1.8,28.3,1015.3,clouds
90,속초,2022-01-13,-5.2,,2.9,31.4,1014.2,clear
90,속초,2022-01-14,-3.1,,1.3,33.9,1019.5,clear
90,속초,2022-01-15,1.2,,2,46.3,1018,clouds
90,속초,2022-01-16,1.4,0,3.3,33.5,1017.8,clear
90,속초,2022-01-17,-3.4,,2.6,28.6,1021.6,clear
90,속초,2022-01-18,-4.5,,1.2,41.3,1023.8,clouds
90,속초,2022-01-19,-2.3,3.1,1.8,53.5,1020.6,snow
90,속초,2022-01-20,-3.5,0.1,2.2,58.9,1026.4,snow
90,속초,2022-01-21,-2.5,,1.8,55.4,1028.3,clear
90,속초,2022-01-22,-1.1,,1.6,73.3,1024,clouds
90,속초,2022-01-23,1.3,0.2,2.3,76,1021.4,snow
90,속초,2022-01-24,2,0.2,1.6,72.5,1022.3,snow
90,속초,2022-01-25,2.4,,0.7,69.8,1017.7,clouds
90,속초,2022-01-26,3.7,,1.9,40.4,1019.3,clouds
90,속초,2022-01-27,0.7,,2,56.3,1020.6,clouds
90,속초,2022-01-28,-0.6,,1.6,44.8,1019.2,clear
90,속초,2022-01-29,-0.5,,1.7,32.5,1016.1,clear
90,속초,2022-01-30,-1.5,,1.7,38.5,1017.8,clear
90,속초,2022-01-31,0.9,,1.5,31.4,1019,clear
90,속초,2022-02-01,0.9,,2.1,44.1,1018.5,clear
90,속초,2022-02-02,-0.5,,2.7,32.3,1021.4,clear
90,속초,2022-02-03,-0.9,,2.1,25.6,1021,clear
90,속초,2022-02-04,-3.1,,2.6,27,1018.6,clear
90,속초,2022-02-05,-5.1,,2.3,29.5,1018.7,clear
90,속초,2022-02-06,-2,,2.7,27.9,1021.6,clear
90,속초,2022-02-07,-1.5,,1.2,37.6,1023.8,clouds
90,속초,2022-02-08,-0.3,,1.3,42.6,1023.7,clear
90,속초,2022-02-09,0.9,,1.4,57.9,1022.8,clouds
90,속초,2022-02-10,1,,1.9,47.4,1020.2,clouds
90,속초,2022-02-11,4.1,,1.6,46,1022.2,clear
90,속초,2022-02-12,4.5,,1.5,51.8,1023.1,clouds
90,속초,2022-02-13,3.3,8.1,2.7,78,1021.2,rain
90,속초,2022-02-14,3.4,1.4,2.5,81.3,1016.5,rain
90,속초,2022-02-15,-2,,3.5,36.6,1013.8,clear
90,속초,2022-02-16,-6.2,,3.7,29.5,1016.7,clear
90,속초,2022-02-17,-5.4,,2.2,37.3,1024.3,clear
90,속초,2022-02-18,0.8,,1.5,37.8,1026.1,clouds
90,속초,2022-02-19,1.6,,2.4,29.6,1018.1,clouds
90,속초,2022-02-20,-3.2,,2.9,25.6,1019.8,clear
90,속초,2022-02-21,-1.6,,3.1,35.4,1022.7,clear
90,속초,2022-02-22,-3,,2.8,25.8,1026,clear
90,속초,2022-02-23,-4.8,,1.6,33.1,1027.7,clear
90,속초,2022-02-24,0.4,,2,25.8,1023.2,clear
90,속초,2022-02-25,5.9,,2.6,34.3,1019.7,clear
90,속초,2022-02-26,7,1.6,3.6,51.3,1011.4,rain
90,속초,2022-02-27,6.1,,3,32.3,1015.1,clear
90,속초,2022-02-28,6.8,,1.7,50.4,1016.2,clouds
90,속초,2022-03-01,7.3,,1.8,56.3,1010.1,clouds
90,속초,2022-03-02,6.4,,2,32.4,1011.1,clear
90,속초,2022-03-03,5.1,,2.1,47.6,1014,clear
90,속초,2022-03-04,9.2,0.6,2.3,42.1,1005.7,rain
90,속초,2022-03-05,4.1,,4.2,20.3,1007.8,clear
90,속초,2022-03-06,2.3,,2.5,34,1016.7,clear
