지점,지점명,일시,평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),평균 현지기압(hPa),clouds
115,울릉도,2022-01-01,1.3,0.1,1.9,72.9,999.5,clear
115,울릉도,2022-01-02,3.9,0.1,3.7,57.3,994.4,rain
115,울릉도,2022-01-03,3.4,,2.8,51,993.3,clouds
115,울릉도,2022-01-04,1.9,1.1,2.9,64.9,996.3,snow
115,울릉도,2022-01-05,1.6,1.7,2.9,73.9,999.7,snow
115,울릉도,2022-01-06,3.3,5,3.9,75.1,997,snow
115,울릉도,2022-01-07,3.6,,2.3,64.3,999.5,clouds
115,울릉도,2022-01-08,5.7,,3.3,58.3,992.4,clear
115,울릉도,2022-01-09,4.7,2.2,3.2,79.1,992.9,rain
115,울릉도,2022-01-10,5.5,2.7,2.6,80.1,990.6,rain
115,울릉도,2022-01-11,0.3,9.8,4.7,78,983.3,snow
115,울릉도,2022-01-12,-1.2,4.2,2.2,70.6,987.7,rain
115,울릉도,2022-01-13,-2.1,2.4,4.3,67.3,985,snow
115,울릉도,2022-01-14,-0.5,1.8,2.7,71.6,993.1,snow
115,울릉도,2022-01-15,3.6,,2.9,61.9,992.5,clouds
115,울릉도,2022-01-16,3.7,0.1,3.2,59.3,991.4,snow
115,울릉도,2022-01-17,-0.4,0.7,2.8,58.8,992.9,snow
115,울릉도,2022-01-18,-2.2,2.6,2.5,76.9,996,snow
115,울릉도,2022-01-19,-0.2,7.6,2.9,74.1,992.5,snow
115,울릉도,2022-01-20,-1.2,0.5,6.8,73.4,997.3,snow
115,울릉도,2022-01-21,0.1,0.2,3,77.4,1002,snow
115,울릉도,2022-01-22,4.1,,2.3,68.9,998.2,clouds
115,울릉도,2022-01-23,4,0.7,4.4,84.5,994.1,rain
115,울릉도,2022-01-24,1.7,,5.6,69.9,995.4,clouds
115,울릉도,2022-01-25,3.6,3.5,1.9,75.3,993,rain
115,울릉도,2022-01-26,4.1,0.3,2.7,62.4,993,rain
115,울릉도,2022-01-27,3.8,0.3,2.2,66.8,993.8,rain
115,울릉도,2022-01-28,1.5,5,2.7,84.5,991.9,snow
115,울릉도,2022-01-29,1.5,,2.4,57.4,989.3,clouds
115,울릉도,2022-01-30,1.8,0.6,2.1,69.1,990.5,snow
115,울릉도,2022-01-31,2.3,0.4,2.1,53.4,993.1,snow
115,울릉도,2022-02-01,1.5,5.8,3.6,68.6,991.8,snow
115,울릉도,2022-02-02,1.6,,2.1,57.8,994.5,clouds
115,울릉도,2022-02-03,0.5,0.1,2.1,54.6,994.1,snow
115,울릉도,2022-02-04,-0.4,0.1,2.2,53.8,990.6,snow
115,울릉도,2022-02-05,-2.5,2,3,66.3,990.4,snow
