Date,Temperature,precipitation (mm),Humidity (%),Pressure (hPa),Condition,Wind Speed (m/s)
2022-01-01,-4.3,,46.3,1019.8,clear,1.5
2022-01-02,-1.3,0.3,57.9,1015.7,snow,2.3
2022-01-03,-1.9,0.1,58.3,1015.3,snow,1.8
2022-01-04,-2.5,0.1,51.8,1017.3,snow,2.4
2022-01-05,-2.8,,47.6,1016.9,clouds,1.7
2022-01-06,-2.2,,47.1,1018,clear,2.3
2022-01-07,-1.6,,47.1,1018.8,clear,1.5
2022-01-08,0.3,0.1,64.3,1013.5,snow,1.7
2022-01-09,1.3,,71.5,1011.7,clouds,1.7
2022-01-10,0.5,0.9,68.3,1009.7,snow,2
2022-01-11,-7.4,0.2,55.5,1010.1,snow,4
2022-01-12,-7.7,,47.8,1012,clouds,2.4
2022-01-13,-6.4,,45.8,1011.1,clear,3.3
2022-01-14,-4.8,,41.8,1014.8,clouds,1.7
2022-01-15,-1,0.1,48.3,1011.9,snow,1.9
2022-01-16,-2,0.1,54.5,1014.2,snow,3.3
2022-01-17,-5.8,0.5,59.9,1016.5,snow,2.2
2022-01-18,-5.6,,47.9,1017.6,clear,2.3
2022-01-19,-5.3,1.7,72.3,1013.9,snow,2.1
2022-01-20,-5,,63.5,1018.1,clear,1.8
2022-01-21,-2.7,,55.6,1019.3,clear,1.8
2022-01-22,0.3,,52.4,1015.4,clouds,1.7
2022-01-23,2,,52.4,1011.5,clouds,1.7
2022-01-24,4.6,,56,1011,clouds,3.5
2022-01-25,2.8,0.7,80,1010.2,rain,2.3
2022-01-26,1.3,,62.8,1013.7,clear,2.2
2022-01-27,-1.1,,50,1014.2,clear,2.1
2022-01-28,-2.7,,51.6,1014.1,clear,2.8
2022-01-29,-3.6,,48.9,1011.5,clear,2.4
2022-01-30,-2.8,,45.4,1011.5,clear,2.2
2022-01-31,-0.7,1.2,59,1012.9,snow,1.9
2022-02-01,-1.3,1.7,76.6,1014.2,snow,2.6
2022-02-02,-3.4,,60.5,1017.4,clouds,2.4
2022-02-03,-3.4,,52.4,1016.3,clear,2.4
2022-02-04,-5.2,0.1,53.3,1014.2,snow,3.1
2022-02-05,-6.6,,48.8,1015.4,clear,3.1
2022-02-06,-3.9,,50.3,1016.9,clear,2.5
2022-02-07,-2.5,,51.3,1017.5,clouds,1.8
2022-02-08,-0.1,,53.8,1016.6,clear,1.9
2022-02-09,1,,52.3,1014.7,clouds,1.8
2022-02-10,1.4,,57.8,1012.5,clear,2.3
2022-02-11,2.9,,61.1,1015.5,clouds,1.8
2022-02-12,4.8,,50.4,1014,clouds,1.7
2022-02-13,4.8,,44.9,1011.3,clouds,1.8
2022-02-14,2.5,1.7,68.3,1009.5,rain,2.9
2022-02-15,-4.7,0.1,58,1011.1,snow,3.8
2022-02-16,-7.3,0.1,50.4,1012.9,snow,3.7
2022-02-17,-6.2,,41.6,1017.5,clear,2.5
2022-02-18,-1.2,,40.4,1018.8,clouds,2
2022-02-19,-1.7,0.1,52.9,1013,snow,2.9
2022-02-20,-4.8,,41.1,1015.5,clear,4.1
2022-02-21,-3,0.1,56.3,1016.9,snow,2.9
2022-02-22,-4.5,,43.3,1021,clear,3.2
2022-02-23,-5.6,,38.5,1021.9,clear,2.6
2022-02-24,-2.4,,52.4,1019.6,clear,2.2
2022-02-25,3,,77.5,1015.6,clouds,2.3
2022-02-26,5.4,1.1,78.4,1006.9,rain,3.9
2022-02-27,3.7,,56.6,1010.9,clear,2.8
2022-02-28,6.8,,62.3,1009.9,clouds,1.5
2022-03-01,5.8,2.3,70.5,1004.2,rain,2.3
2022-03-02,3.5,,55.9,1007,clear,2.7
2022-03-03,5.8,,52.9,1007.1,clear,2.1
2022-03-04,6.9,,60.5,1001,clouds,3.6
2022-03-05,2.3,,38.4,1005.2,clear,4.3
2022-03-06,1.4,,39.5,1011,clouds,2.6
2022-03-07,2.8,,45.8,1010,clouds,2
2022-03-08,6,,56.1,1008.6,clear,2
2022-03-09,7.1,,69.6,1011.2,clear,1.9
2022-03-10,9.3,,51.4,1010.1,clouds,2.1
2022-03-11,11.2,,58.4,1007.8,clouds,1.9
2022-03-12,12.8,2.6,72.1,1004.4,rain,2.7
2022-03-13,11.7,42.1,95.5,1000.6,rain,1.9
2022-03-14,8.2,8.7,90.3,1001,rain,3.2
2022-03-15,7.2,,72.6,1003.7,clouds,2
2022-03-16,10.3,,62.6,1006.2,clouds,2.1
2022-03-17,10.7,1.2,62,1008.5,rain,2.7
2022-03-18,7.5,0.1,60.8,1000.8,rain,4.4
2022-03-19,3.4,14.6,84.6,998.9,snow,3
2022-03-20,5.4,0.1,66.1,1008.2,rain,2.6
2022-03-21,5,,49.5,1013.3,clouds,2.4
2022-03-22,7.1,,48.9,1011.4,clouds,2.2
2022-03-23,6.2,,56.8,1007.5,clouds,2.3
2022-03-24,8.2,,70.6,1009.1,clouds,1.8
2022-03-25,12,10.9,70,1004.5,rain,2.6
2022-03-26,11.8,19.8,80.9,992.1,rain,2.9
2022-03-27,8.1,,49.1,1005.6,clear,3
2022-03-28,8.2,,35.6,1015.2,clear,2.1
2022-03-29,9.7,,52.9,1013.9,clear,2.1
2022-03-30,10.8,0.4,76.5,1010.3,rain,1.8
2022-03-31,10.9,,63.5,1013.4,clouds,2.5
2022-04-01,9.2,,50.5,1018.1,clear,2.6
2022-04-02,8.2,,55,1016.7,clear,2.3
2022-04-03,9.6,,55,1017.3,clear,2.1
2022-04-04,10.3,,50.3,1017.2,clear,2.3
2022-04-05,10.3,,41.1,1011.9,clouds,2.4
2022-04-06,11.7,,52.3,1010.5,clouds,2.5
2022-04-07,10.9,,43.5,1007.5,clear,3.3
2022-04-08,12.9,,49,1008.5,clear,2.1
2022-04-09,17.8,0.5,43.8,1004.6,rain,3
2022-04-10,18.2,,46,1006.1,clear,2
2022-04-11,19.6,,60.4,1002.7,clouds,2.4
2022-04-12,19.3,0.5,77.9,1000.4,rain,2.8
2022-04-13,13.1,1.3,69.3,1004.2,rain,4.4
2022-04-14,13.2,,53.4,1008,clouds,4
2022-04-15,13.3,,46.8,1007.4,clear,3
2022-04-16,13.2,,48.5,1007.2,clear,2.5
2022-04-17,14,,53.8,1007.7,clouds,2.3
2022-04-18,15.2,,46.1,1007.4,clouds,2.4
2022-04-19,15.2,,51.9,1006.9,clear,2.4
2022-04-20,15.7,,48.8,1005.5,clear,2.3
2022-04-21,16.3,,48.4,1001.6,clouds,2.8
2022-04-22,15,,76.8,1000.3,clouds,3.5
2022-04-23,17.7,,57.3,1001.9,clouds,1.7
2022-04-24,18.5,0.3,72.5,1001.2,rain,2.3
2022-04-25,20,1.3,80.5,1000.6,rain,1.4
2022-04-26,21.9,1,57.9,993.2,rain,3.1
2022-04-27,17.7,,31.5,1004.3,clear,2.7
2022-04-28,18.2,0.1,44,1005.6,rain,2.6
2022-04-29,13.4,15.5,70.6,1006.3,rain,3.4
2022-04-30,13,,68,1007.2,clouds,2.9
2022-05-01,13.4,,54.8,1002.6,clear,3.1
2022-05-02,14.2,,56.5,1003.2,clear,2.4
2022-05-03,14.8,,45.9,1008.5,clear,2.5
2022-05-04,17.8,,43.3,1008.5,clear,2.7
2022-05-05,18.9,,48.1,1008.3,clear,2.2
2022-05-06,19.6,,67.1,1006.1,clouds,2.5
2022-05-07,18.4,0.5,52.4,1006.6,rain,3
2022-05-08,15.3,2,51.8,1008.7,rain,2.8
2022-05-09,17.9,,56.4,1007.8,clouds,2.2
2022-05-10,19.9,0.1,39,1005.7,rain,2.2
