Date,Temperature,precipitation (mm),Wind Speed (m/s),Humidity (%),Pressure (hPa),Condition
2022-01-01,-4.3,,1.5,46.3,1019.8,clear
2022-01-02,-1.3,0.3,2.3,57.9,1015.7,snow
2022-01-03,-1.9,0.1,1.8,58.3,1015.3,snow
2022-01-04,-2.5,0.1,2.4,51.8,1017.3,snow
2022-01-05,-2.8,,1.7,47.6,1016.9,clouds
2022-01-06,-2.2,,2.3,47.1,1018,clear
2022-01-07,-1.6,,1.5,47.1,1018.8,clear
2022-01-08,0.3,0.1,1.7,64.3,1013.5,snow
2022-01-09,1.3,,1.7,71.5,1011.7,clouds
2022-01-10,0.5,0.9,2,68.3,1009.7,snow
2022-01-11,-7.4,0.2,4,55.5,1010.1,snow
2022-01-12,-7.7,,2.4,47.8,1012,clouds
2022-01-13,-6.4,,3.3,45.8,1011.1,clear
2022-01-14,-4.8,,1.7,41.8,1014.8,clouds
2022-01-15,-1,0.1,1.9,48.3,1011.9,snow
2022-01-16,-2,0.1,3.3,54.5,1014.2,snow
2022-01-17,-5.8,0.5,2.2,59.9,1016.5,snow
2022-01-18,-5.6,,2.3,47.9,1017.6,clear
2022-01-19,-5.3,1.7,2.1,72.3,1013.9,snow
2022-01-20,-5,,1.8,63.5,1018.1,clear
2022-01-21,-2.7,,1.8,55.6,1019.3,clear
2022-01-22,0.3,,1.7,52.4,1015.4,clouds
2022-01-23,2,,1.7,52.4,1011.5,clouds
2022-01-24,4.6,,3.5,56,1011,clouds
2022-01-25,2.8,0.7,2.3,80,1010.2,rain
2022-01-26,1.3,,2.2,62.8,1013.7,clear
2022-01-27,-1.1,,2.1,50,1014.2,clear
2022-01-28,-2.7,,2.8,51.6,1014.1,clear
2022-01-29,-3.6,,2.4,48.9,1011.5,clear
2022-01-30,-2.8,,2.2,45.4,1011.5,clear
2022-01-31,-0.7,1.2,1.9,59,1012.9,snow
2022-02-01,-1.3,1.7,2.6,76.6,1014.2,snow
2022-02-02,-3.4,,2.4,60.5,1017.4,clouds
2022-02-03,-3.4,,2.4,52.4,1016.3,clear
2022-02-04,-5.2,0.1,3.1,53.3,1014.2,snow
2022-02-05,-6.6,,3.1,48.8,1015.4,clear
2022-02-06,-3.9,,2.5,50.3,1016.9,clear
2022-02-07,-2.5,,1.8,51.3,1017.5,clouds
2022-02-08,-0.1,,1.9,53.8,1016.6,clear
2022-02-09,1,,1.8,52.3,1014.7,clouds
2022-02-10,1.4,,2.3,57.8,1012.5,clear
2022-02-11,2.9,,1.8,61.1,1015.5,clouds
2022-02-12,4.8,,1.7,50.4,1014,clouds
2022-02-13,4.8,,1.8,44.9,1011.3,clouds
2022-02-14,2.5,1.7,2.9,68.3,1009.5,rain
2022-02-15,-4.7,0.1,3.8,58,1011.1,snow
2022-02-16,-7.3,0.1,3.7,50.4,1012.9,snow
2022-02-17,-6.2,,2.5,41.6,1017.5,clear
2022-02-18,-1.2,,2,40.4,1018.8,clouds
2022-02-19,-1.7,0.1,2.9,52.9,1013,snow
2022-02-20,-4.8,,4.1,41.1,1015.5,clear
2022-02-21,-3,0.1,2.9,56.3,1016.9,snow
2022-02-22,-4.5,,3.2,43.3,1021,clear
2022-02-23,-5.6,,2.6,38.5,1021.9,clear
2022-02-24,-2.4,,2.2,52.4,1019.6,clear
2022-02-25,3,,2.3,77.5,1015.6,clouds
2022-02-26,5.4,1.1,3.9,78.4,1006.9,rain
2022-02-27,3.7,,2.8,56.6,1010.9,clear
2022-02-28,6.8,,1.5,62.3,1009.9,clouds
2022-03-01,5.8,2.3,2.3,70.5,1004.2,rain
2022-03-02,3.5,,2.7,55.9,1007,clear
2022-03-03,5.8,,2.1,52.9,1007.1,clear
2022-03-04,6.9,,3.6,60.5,1001,clouds
2022-03-05,2.3,,4.3,38.4,1005.2,clear
2022-03-06,1.4,,2.6,39.5,1011,clouds
2022-03-07,2.8,,2,45.8,1010,clouds
2022-03-08,6,,2,56.1,1008.6,clear
2022-03-09,7.1,,1.9,69.6,1011.2,clear
2022-03-10,9.3,,2.1,51.4,1010.1,clouds
2022-03-11,11.2,,1.9,58.4,1007.8,clouds
2022-03-12,12.8,2.6,2.7,72.1,1004.4,rain
2022-03-13,11.7,42.1,1.9,95.5,1000.6,rain
2022-03-14,8.2,8.7,3.2,90.3,1001,rain
2022-03-15,7.2,,2,72.6,1003.7,clouds
2022-03-16,10.3,,2.1,62.6,1006.2,clouds
2022-03-17,10.7,1.2,2.7,62,1008.5,rain
2022-03-18,7.5,0.1,4.4,60.8,1000.8,rain
2022-03-19,3.4,14.6,3,84.6,998.9,snow
2022-03-20,5.4,0.1,2.6,66.1,1008.2,rain
2022-03-21,5,,2.4,49.5,1013.3,clouds
2022-03-22,7.1,,2.2,48.9,1011.4,clouds
2022-03-23,6.2,,2.3,56.8,1007.5,clouds
2022-03-24,8.2,,1.8,70.6,1009.1,clouds
2022-03-25,12,10.9,2.6,70,1004.5,rain
2022-03-26,11.8,19.8,2.9,80.9,992.1,rain
2022-03-27,8.1,,3,49.1,1005.6,clear
2022-03-28,8.2,,2.1,35.6,1015.2,clear
2022-03-29,9.7,,2.1,52.9,1013.9,clear
2022-03-30,10.8,0.4,1.8,76.5,1010.3,rain
2022-03-31,10.9,,2.5,63.5,1013.4,clouds
2022-04-01,9.2,,2.6,50.5,1018.1,clear
2022-04-02,8.2,,2.3,55,1016.7,clear
2022-04-03,9.6,,2.1,55,1017.3,clear
2022-04-04,10.3,,2.3,50.3,1017.2,clear
2022-04-05,10.3,,2.4,41.1,1011.9,clouds
2022-04-06,11.7,,2.5,52.3,1010.5,clouds
2022-04-07,10.9,,3.3,43.5,1007.5,clear
2022-04-08,12.9,,2.1,49,1008.5,clear
2022-04-09,17.8,0.5,3,43.8,1004.6,rain
2022-04-10,18.2,,2,46,1006.1,clear
2022-04-11,19.6,,2.4,60.4,1002.7,clouds
2022-04-12,19.3,0.5,2.8,77.9,1000.4,rain
2022-04-13,13.1,1.3,4.4,69.3,1004.2,rain
2022-04-14,13.2,,4,53.4,1008,clouds
2022-04-15,13.3,,3,46.8,1007.4,clear
2022-04-16,13.2,,2.5,48.5,1007.2,clear
2022-04-17,14,,2.3,53.8,1007.7,clouds
2022-04-18,15.2,,2.4,46.1,1007.4,clouds
2022-04-19,15.2,,2.4,51.9,1006.9,clear
2022-04-20,15.7,,2.3,48.8,1005.5,clear
2022-04-21,16.3,,2.8,48.4,1001.6,clouds
2022-04-22,15,,3.5,76.8,1000.3,clouds
